Date,Value,Value USD,Max 7,Min 7,Open 2,Change,Mean Change 7,Drop 7,Up 7,Predict,Prediction,Actual
21-03-2019 18:18,3992.02,3992.99,3992.02,3985.39,3992.99,-0.9699999999997999,-1.0857142857142728,6.0,1.0,-2.0,0,1
21-03-2019 18:19,3992.99,3995.24,3992.99,3985.42,3995.24,-2.25,-1.4028571428571013,6.0,1.0,-2.0,0,1
21-03-2019 18:19,3995.24,3993.8,3995.24,3987.37,3993.8,1.4399999999995998,-0.9185714285714701,5.0,2.0,0.0,0,0
21-03-2019 18:20,3993.8,3991.34,3995.24,3988.05,3991.34,2.4600000000000364,-0.4699999999999948,4.0,3.0,0.0,0,0
21-03-2019 18:21,3991.34,3989.96,3995.24,3990.04,3989.96,1.3800000000001091,0.17999999999996621,3.0,4.0,1.0,1,0
21-03-2019 18:21,3989.96,3991.13,3995.24,3989.96,3991.13,-1.1700000000000728,-0.1557142857143065,4.0,3.0,-2.0,0,1
21-03-2019 18:22,3991.13,3990.82,3995.24,3989.96,3990.82,0.30999999999994543,0.17142857142854545,3.0,4.0,1.0,1,0
21-03-2019 18:22,3990.82,3990.6,3995.24,3989.96,3990.6,0.22000000000025466,0.34142857142855326,2.0,5.0,1.0,1,0
21-03-2019 18:23,3990.6,3990.64,3995.24,3989.96,3990.64,-0.03999999999996362,0.6571428571428442,2.0,5.0,-1.0,0,1
21-03-2019 18:23,3990.64,3989.55,3993.8,3989.96,3989.55,1.0899999999996908,0.6071428571428571,2.0,5.0,1.0,1,0
21-03-2019 18:24,3989.55,3990.71,3991.34,3989.55,3990.71,-1.1599999999998545,0.0900000000000156,3.0,4.0,-1.0,0,1
21-03-2019 18:24,3990.71,3990.95,3991.13,3989.55,3990.95,-0.23999999999978172,-0.14142857142854023,4.0,3.0,-2.0,0,1
21-03-2019 18:25,3990.95,3992.16,3991.13,3989.55,3992.16,-1.2100000000000364,-0.14714285714282077,4.0,3.0,-2.0,0,1
21-03-2019 18:27,3992.16,3993.11,3992.16,3989.55,3993.11,-0.9500000000002728,-0.32714285714285196,5.0,2.0,-2.0,0,1
21-03-2019 18:27,3993.11,3995.1,3993.11,3989.55,3995.1,-1.9899999999997817,-0.6428571428571429,6.0,1.0,-2.0,0,1
21-03-2019 18:28,3995.1,3992.36,3995.1,3989.55,3992.36,2.7399999999997817,-0.2457142857143221,5.0,2.0,0.0,0,0
21-03-2019 18:28,3992.36,3992.87,3995.1,3989.55,3992.87,-0.5099999999997635,-0.47428571428567273,6.0,1.0,-2.0,0,1
21-03-2019 18:29,3992.87,3994.14,3995.1,3990.71,3994.14,-1.2699999999999818,-0.4899999999999766,6.0,1.0,-2.0,0,1
21-03-2019 18:30,3994.14,3993.83,3995.1,3990.95,3993.83,0.30999999999994543,-0.411428571428587,5.0,2.0,0.0,0,0
21-03-2019 18:30,3993.83,3994.09,3995.1,3992.16,3994.09,-0.2600000000002183,-0.27571428571432727,5.0,2.0,-2.0,0,1
21-03-2019 18:31,3994.09,3993.5,3995.1,3992.36,3993.5,0.5900000000001455,-0.05571428571426752,4.0,3.0,0.0,0,0
21-03-2019 18:31,3993.5,3992.86,3995.1,3992.36,3992.86,0.6399999999998727,0.3199999999999688,3.0,4.0,1.0,1,0
21-03-2019 18:32,3992.86,3991.26,3994.14,3992.36,3991.26,1.599999999999909,0.15714285714284415,3.0,4.0,1.0,1,0
21-03-2019 18:33,3991.26,3991.3,3994.14,3991.26,3991.3,-0.03999999999996362,0.2242857142856727,3.0,4.0,-1.0,0,1
21-03-2019 18:33,3991.3,3991.31,3994.14,3991.26,3991.31,-0.009999999999763531,0.40428571428570387,3.0,4.0,-1.0,0,1
21-03-2019 18:34,3991.31,3991.21,3994.09,3991.26,3991.21,0.09999999999990905,0.3742857142856987,3.0,4.0,1.0,1,0
21-03-2019 18:34,3991.21,3992.34,3994.09,3991.21,3992.34,-1.1300000000001091,0.25,3.0,4.0,-1.0,0,1
21-03-2019 18:35,3992.34,3990.79,3993.5,3991.21,3990.79,1.550000000000182,0.38714285714286234,3.0,4.0,1.0,1,0
21-03-2019 18:35,3990.79,3990.36,3992.86,3990.79,3990.36,0.4299999999998363,0.35714285714285715,3.0,4.0,1.0,1,0
21-03-2019 18:36,3990.36,3989.73,3992.34,3990.36,3989.73,0.6300000000001091,0.21857142857145714,3.0,4.0,1.0,1,0
21-03-2019 18:36,3989.73,3988.98,3992.34,3989.73,3988.98,0.75,0.33142857142859483,2.0,5.0,1.0,1,0
21-03-2019 18:37,3988.98,3988.68,3992.34,3988.98,3988.68,0.3000000000001819,0.3757142857143013,1.0,6.0,1.0,1,0
21-03-2019 18:37,3988.68,3987.83,3992.34,3988.68,3987.83,0.849999999999909,0.4828571428571585,1.0,6.0,1.0,1,0
21-03-2019 18:38,3987.83,3987.26,3992.34,3987.83,3987.26,0.569999999999709,0.7257142857142753,0.0,7.0,1.0,1,0
21-03-2019 18:39,3987.26,3986.89,3990.79,3987.26,3986.89,0.3700000000003456,0.5571428571428702,0.0,7.0,1.0,1,0
21-03-2019 18:39,3986.89,3987.47,3990.36,3986.89,3987.47,-0.5799999999999272,0.4128571428571896,1.0,6.0,-1.0,0,1
21-03-2019 18:40,3987.47,3987.81,3989.73,3986.89,3987.81,-0.3400000000001455,0.2742857142857247,2.0,5.0,-1.0,0,1
21-03-2019 18:40,3987.81,3987.62,3988.98,3986.89,3987.62,0.19000000000005457,0.19428571428573246,2.0,5.0,1.0,1,0
21-03-2019 18:41,3987.62,3986.4,3988.68,3986.89,3986.4,1.2199999999998,0.3257142857142493,2.0,5.0,1.0,1,0
21-03-2019 18:41,3986.4,3986.13,3987.83,3986.4,3986.13,0.2699999999999818,0.24285714285711688,2.0,5.0,1.0,1,0
21-03-2019 19:05,3986.13,3985.99,3987.81,3986.13,3985.99,0.14000000000032742,0.1814285714286338,2.0,5.0,1.0,1,0
21-03-2019 19:05,3985.99,3985.66,3987.81,3985.99,3985.66,0.32999999999992724,0.17571428571428832,2.0,5.0,1.0,1,0
21-03-2019 19:06,3985.66,3986.38,3987.81,3985.66,3986.38,-0.7200000000002547,0.15571428571424153,2.0,5.0,-1.0,0,1
21-03-2019 19:06,3986.38,3986.72,3987.81,3985.66,3986.72,-0.33999999999969077,0.1557142857143065,2.0,5.0,-1.0,0,1
21-03-2019 19:07,3986.72,3986.21,3987.62,3985.66,3986.21,0.5099999999997635,0.20142857142855064,2.0,5.0,1.0,1,0
21-03-2019 19:08,3986.21,3986.12,3986.72,3985.66,3986.12,0.09000000000014552,0.04000000000002858,2.0,5.0,1.0,1,0
21-03-2019 19:08,3986.12,3986.2,3986.72,3985.66,3986.2,-0.07999999999992724,-0.009999999999958422,3.0,4.0,-2.0,0,1
21-03-2019 19:09,3986.2,3986.57,3986.72,3985.66,3986.57,-0.3700000000003456,-0.08285714285719743,4.0,3.0,-2.0,0,1
21-03-2019 19:09,3986.57,3986.72,3986.72,3985.66,3986.72,-0.1499999999996362,-0.15142857142856364,5.0,2.0,-2.0,0,1
21-03-2019 19:10,3986.72,3986.18,3986.72,3986.12,3986.18,0.5399999999999636,0.02857142857146755,4.0,3.0,-1.0,0,0
21-03-2019 19:10,3986.18,3986.37,3986.72,3986.12,3986.37,-0.19000000000005457,0.049999999999987006,4.0,3.0,-2.0,0,1
21-03-2019 19:11,3986.37,3986.36,3986.72,3986.12,3986.36,0.009999999999763531,-0.021428571428584422,4.0,3.0,0.0,0,0
21-03-2019 19:12,3986.36,3986.21,3986.72,3986.12,3986.21,0.15000000000009095,-0.012857142857163646,4.0,3.0,0.0,0,0
21-03-2019 19:12,3986.21,3986.38,3986.72,3986.18,3986.38,-0.17000000000007276,-0.02571428571432729,4.0,3.0,-2.0,0,1
