Date,Value USD,Drop 7,Up 7,Min 7,Max 7,Mean 7,Mean Change 7,Change,Predict,Actual
01/02/2018,114.12921920631001,2.0,5.0,114.12921920631001,118.9431579781769,117.11354800424942,0.7062152117261097,0.4883706000444618,2.0,0
12/29/2017,113.64084860626556,2.0,5.0,113.64084860626556,118.9431579781769,116.40733279252329,0.6777387918984447,-0.32890264900952104,-1.0,1
12/28/2017,113.96975125527507,1.0,6.0,113.64084860626556,118.9431579781769,115.72959400062487,0.757472767415907,0.32890264900952104,2.0,0
12/27/2017,113.64084860626556,1.0,6.0,113.64084860626556,118.4647541250721,114.97212123320894,0.8357829219419861,1.026574934787348,2.0,0
12/26/2017,112.6142736714782,1.0,6.0,112.6142736714782,115.69399847584023,114.13633831126695,0.4826753160789333,0.2990024081905034,2.0,0
12/22/2017,112.3152712632877,1.0,6.0,112.3152712632877,115.26542835743388,113.65366299518804,0.4613180012081882,0.2790689143111393,2.0,0
12/21/2017,112.03620234897656,1.0,6.0,112.03620234897656,114.12921920631001,113.19234499397986,0.3402932169406065,0.2890356612507929,2.0,0
12/20/2017,111.74716668772577,2.0,5.0,111.74716668772577,113.96975125527507,112.85205177703924,0.26767834638005994,-0.01993349387936405,-1.0,1
12/19/2017,111.76710018160513,2.0,5.0,111.74716668772577,113.96975125527507,112.58437343065918,0.11390567931066188,-1.4053113184953077,-1.0,1
12/18/2017,113.17241150010044,3.0,4.0,111.74716668772577,113.64084860626556,112.47046775134851,0.02847641982766902,-0.2691021673714289,-1.0,1
12/15/2017,113.44151366747187,3.0,4.0,111.74716668772577,113.44151366747187,112.44199133152084,0.009966746939684057,0.8970072245714533,2.0,0
12/14/2017,112.54450644290041,4.0,3.0,111.74716668772577,113.44151366747187,112.4320245845812,-0.08827690146576726,-0.3887031306476558,-2.0,1
12/13/2017,112.93320957354807,5.0,2.0,111.74716668772577,113.44151366747187,112.52030148604695,-0.1495012040952466,-0.14950120409521614,-2.0,1
12/12/2017,113.08271077764329,5.0,2.0,111.74716668772577,113.44151366747187,112.6698026901422,-0.03559552478458272,1.0863754164254402,0.0,0
12/11/2017,111.99633536121785,5.0,2.0,111.76710018160513,113.44151366747187,112.70539821492676,-0.06549576560363286,-0.22923517961271495,-2.0,1
12/08/2017,112.22557054083056,4.0,3.0,111.99633536121785,113.44151366747187,112.77089398053042,0.3061215131474049,1.1960096327619567,-1.0,0
12/07/2017,111.0295609080686,3.0,4.0,111.0295609080686,113.44151366747187,112.464772467383,0.5809189644843785,1.6544799919873867,2.0,0
12/06/2017,109.37508091608122,3.0,4.0,109.37508091608122,113.08271077764329,111.88385350289862,0.6179383102603444,1.1561426450032144,2.0,0
12/05/2017,108.218938271078,2.0,5.0,108.218938271078,113.08271077764329,111.26591519263829,0.8372067429333734,1.1461758980635466,2.0,0
12/04/2017,107.07276237301446,2.0,5.0,107.07276237301446,113.08271077764329,110.42870844970491,0.3887031306476355,-3.289026490095381,-1.0,1
12/01/2017,110.36178886310984,3.0,4.0,107.07276237301446,112.22557054083056,110.04000531905727,-0.03132406181043328,-1.8538149307810408,-2.0,1
11/30/2017,112.21560379389088,2.0,5.0,107.07276237301446,112.22557054083056,110.07132938086771,0.3901269516390207,2.7209219145334638,2.0,0
11/29/2017,109.49468187935742,3.0,4.0,107.07276237301446,112.21560379389088,109.68120242922869,-0.2790689143111251,-3.488361428889064,-2.0,1
11/28/2017,112.98304330824648,3.0,4.0,107.07276237301446,112.98304330824648,109.96027134353982,-0.3758887417251872,0.9767412000889522,-1.0,0
11/27/2017,112.00630210815753,3.0,4.0,107.07276237301446,112.98304330824648,110.336160085265,-0.4826753160789313,0.4086366245270057,-1.0,0
11/24/2017,111.59766548363052,3.0,4.0,107.07276237301446,112.98304330824648,110.81883540134392,-0.4826753160789293,1.1461758980635608,-1.0,0
11/22/2017,110.45148958556696,3.0,4.0,109.49468187935742,112.98304330824648,111.30151071742287,-0.10251511137959264,-0.6279050572000244,-2.0,1
11/21/2017,111.07939464276699,2.0,5.0,109.49468187935742,112.98304330824648,111.40402582880243,0.3758887417251892,1.4950120409524317,2.0,0
11/20/2017,109.58438260181455,2.0,5.0,109.49468187935742,112.98304330824648,111.02813708707727,0.005695283965532586,0.12956771021586633,2.0,0
11/17/2017,109.45481489159869,2.0,5.0,109.45481489159869,112.98304330824648,111.02244180311172,0.3331741119836908,-1.1960096327619567,-1.0,1
11/16/2017,110.65082452436064,2.0,5.0,109.45481489159869,112.00630210815753,110.68926769112804,0.3307974709834594,0.9601047130873326,2.0,0
11/15/2017,109.69071981127331,3.0,4.0,109.45481489159869,111.59766548363052,110.35847022014455,0.026531668420966117,-1.7212239934104474,-1.0,1
11/14/2017,111.41194380468376,3.0,4.0,109.45481489159869,111.41194380468376,110.3319385517236,-0.05477092344294476,0.5770577550161846,-1.0,0
11/13/2017,110.83488604966757,3.0,4.0,109.45481489159869,111.41194380468376,110.38670947516657,-0.03329377793352454,-0.4775650386340829,-2.0,1
11/10/2017,111.31245108830166,4.0,3.0,109.45481489159869,111.41194380468376,110.42000325310008,-0.2838213641543693,-0.2586810625934817,-2.0,1
11/09/2017,111.57113215089514,5.0,2.0,109.45481489159869,111.57113215089514,110.70382461725443,-0.34923474619391265,-0.3283259640609373,-2.0,1
11/08/2017,111.89945811495608,4.0,3.0,109.69071981127331,111.89945811495608,111.05305936344836,-0.1243658954776338,0.3780723222519953,0.0,0
11/07/2017,111.52138579270408,4.0,3.0,109.69071981127331,111.89945811495608,111.177425258926,-0.237361194797314,0.1691376178495716,0.0,0
11/06/2017,111.35224817485451,3.0,4.0,110.83488604966757,111.89945811495608,111.4147864537233,0.0881221202241481,0.557159211739787,2.0,0
11/03/2017,110.79508896311472,3.0,4.0,110.79508896311472,111.89945811495608,111.32666433349914,0.05969562982926796,0.3780723222520237,2.0,0
11/02/2017,110.4170166408627,3.0,4.0,110.4170166408627,111.89945811495608,111.26696870366985,0.11512728609929468,-0.08954344474389586,-1.0,1
11/01/2017,110.5065600856066,2.0,5.0,110.4170166408627,111.89945811495608,111.15184141757057,0.30700609626478786,1.0844706085649705,2.0,0
10/31/2017,109.42208947704162,2.0,5.0,109.42208947704162,111.89945811495608,110.8448353213058,0.345381858297882,-0.059695629829278125,-1.0,1
10/30/2017,109.4817851068709,2.0,5.0,109.42208947704162,111.52138579270408,110.49945346300792,0.33827523569916146,0.3283259640609515,2.0,0
10/27/2017,109.15345914280995,3.0,4.0,109.15345914280995,111.35224817485451,110.16117822730871,0.301320798185809,-0.08954344474389586,-1.0,1
10/26/2017,109.24300258755385,3.0,4.0,109.15345914280995,110.79508896311472,109.85985742912294,0.2572597380737359,0.24873179095527576,2.0,0
10/25/2017,108.99427079659857,3.0,4.0,108.99427079659857,110.5065600856066,109.6025976910492,0.365280401574308,1.1342169667560285,2.0,0
10/24/2017,107.86005382984254,2.0,5.0,107.86005382984254,110.5065600856066,109.23731728947487,0.5031488799895121,0.8755359041625326,2.0,0
10/23/2017,106.98451792568001,3.0,4.0,106.98451792568001,109.4817851068709,108.73416840948539,0.3453818582978881,-0.01989854327639761,-1.0,1
10/20/2017,107.0044164689564,2.0,5.0,106.98451792568001,109.4817851068709,108.38878655118752,0.4292400049628092,0.5273113968251693,2.0,0
10/19/2017,106.47710507213124,3.0,4.0,106.47710507213124,109.24300258755385,107.95954654622473,0.2714729832711811,-0.7760431877804449,-1.0,1
10/18/2017,107.25314825991168,2.0,5.0,106.47710507213124,109.24300258755385,107.68807356295349,0.32121934146223297,0.25868106259346746,2.0,0
10/17/2017,106.99446719731822,3.0,4.0,106.47710507213124,108.99427079659857,107.36685422149128,0.17766556496805005,-0.7561446445040048,-1.0,1
10/16/2017,107.75061184182222,4.0,3.0,106.47710507213124,107.86005382984254,107.18918865652323,-0.035533112993608784,-0.35817377897558345,-2.0,1
10/13/2017,108.1087856207978,4.0,3.0,106.47710507213124,108.1087856207978,107.22472176951685,-0.0824368221451733,0.5472099401015811,0.0,0
10/12/2017,107.56157568069622,4.0,3.0,106.47710507213124,108.1087856207978,107.307158591662,-0.1264978822572504,-0.3283259640609373,-2.0,1
10/11/2017,107.88990164475716,4.0,3.0,106.47710507213124,108.1087856207978,107.43365647391927,-0.04121841107258969,1.124267695117794,0.0,0
10/10/2017,106.76563394963937,3.0,4.0,106.76563394963937,108.1087856207978,107.47487488499183,0.11228463705980524,0.29847814914631954,2.0,0
10/09/2017,106.46715580049305,3.0,4.0,106.46715580049305,108.1087856207978,107.36259024793205,0.11512728609929468,0.2785796058698935,2.0,0
10/06/2017,106.18857619462317,2.0,5.0,106.18857619462317,108.1087856207978,107.24746296183277,0.2927928510673468,0.4875143102723598,2.0,0
10/05/2017,105.70106188435079,1.0,6.0,105.70106188435079,108.1087856207978,106.9546701107654,0.4761437141143696,0.9252822623535764,2.0,0
10/04/2017,104.77577962199722,2.0,5.0,104.77577962199722,107.88990164475716,106.47852639665103,0.3581737789755855,-0.2785796058699077,-1.0,1
10/03/2017,105.05435922786712,1.0,6.0,104.77577962199722,107.88990164475716,106.12035261767548,0.4263973559233157,0.14923907457317398,2.0,0
10/02/2017,104.90512015329395,1.0,6.0,104.77577962199722,106.76563394963937,105.69395526175215,0.29421417558709045,0.19898543276421776,2.0,0
09/29/2017,104.70613472052973,1.0,6.0,104.70613472052973,106.46715580049305,105.39974108616505,0.3453818582978861,0.6566519281218888,2.0,0
09/28/2017,104.04948279240784,1.0,6.0,104.04948279240784,106.18857619462317,105.05435922786717,0.4036561636074083,0.6864997430365491,2.0,0
09/27/2017,103.3629830493713,1.0,6.0,103.3629830493713,105.70106188435079,104.65070306425976,0.46903709151564704,0.9451808056300308,2.0,0
09/26/2017,102.41780224374126,2.0,5.0,102.41780224374126,105.05435922786712,104.18166597274413,0.3254833150214641,-0.07959417310570416,-1.0,1
09/25/2017,102.49739641684697,2.0,5.0,102.41780224374126,105.05435922786712,103.85618265772268,0.004263973559235168,-2.5271149961055097,-1.0,1
09/22/2017,105.02451141295248,2.0,5.0,102.41780224374126,105.02451141295248,103.8519186841634,0.018477218756676246,0.24873179095526154,2.0,0
09/21/2017,104.77577962199722,2.0,5.0,102.41780224374126,105.02451141295248,103.83344146540674,0.03837576203309823,0.3382752356991716,2.0,0
09/20/2017,104.43750438629804,3.0,4.0,102.41780224374126,105.02451141295248,103.79506570337364,-0.11796993513878005,-0.4377679520812592,-2.0,1
09/19/2017,104.87527233837929,3.0,4.0,102.41780224374126,105.02451141295248,103.91303563851244,-0.1336045048559689,0.5770577550162272,-1.0,0
09/18/2017,104.29821458336308,4.0,3.0,102.41780224374126,105.02451141295248,104.04664014336839,-0.3354325866596761,-0.4676157669959196,-2.0,1
09/15/2017,104.765830350359,4.0,3.0,102.49739641684697,105.02451141295248,104.38207273002807,-0.434925303041782,-0.7760431877804449,-2.0,1
09/14/2017,105.54187353813944,3.0,4.0,104.29821458336308,105.54187353813944,104.81699803306988,-0.03837576203309823,0.24873179095527576,-1.0,0
09/13/2017,105.29314174718417,4.0,3.0,104.29821458336308,105.54187353813944,104.85537379510298,-0.1279192067769961,-0.3780723222520237,-2.0,1
